Brand,Store Name,Address,Latitude,Longitude
Starbucks,"Starbucks Tin Village, Kampar","Lot No. 5 & 6, Ground Floor, Tin Village Mall, 31900, Perak",4.3287366,101.1467825
Starbucks,Starbucks Petronas Bandar Universiti DT,"Petronas Station, Lot PTD 307&308, Jalan PP 1, Bandar Universiti, Mukim, 32610 Seri Iskandar, Perak",4.3633597,100.976816
Starbucks,Starbucks Medan Gopeng,"Burger Houz, Lot 200A, Jln Sultan Nazrin Shah, 31350, Perak",4.5722266,101.1128612
Starbucks,Starbucks,"Berjaya Times Square, Lot No. G-09A, Ground Floor, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1426386,101.7101071
Starbucks,Starbucks Sunway Tambun DT,"Part of Lot HS (D) KA 72917, PT146136 (Plot 10) of, 31150, Perak",4.6208475,101.148161
Starbucks,Starbucks - TPM DT,"Jalan Teknologi 8, Taman Teknologi Malaysia, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.0548512,101.7044304
Starbucks,Starbucks Petronas Kota Damansara,"Petronas, Tropicana Indah, 47410 Petaling Jaya, Selangor",3.1495589,101.5800683
Starbucks,Starbucks Cameron Highlands,"Unit No. 22 & 23, Ground Floor & 1st Floor, 39000, Pahang",4.4706057,101.3778575
Starbucks,Starbucks Reserve - Shoppes at Four Seasons Place,"Level 4a, no, Lot 1, Ground Floor at Shoppes at Four Seasons Place, 145, Jln Ampang, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1586729,101.7138997
Starbucks,Starbucks Jelapang Square DT,"Lot Besar 392323, Pusat Komersial Jelapang, Jelapang, Ipoh, 19, Jalan Jelapang 11, Jelapang, 30020 Ipoh, Perak",4.6443357,101.0617586
Starbucks,Starbucks Ipoh Parade,"G Floor, Ipoh Parade, Jalan Sultan Abdul Jalil, 30450 Ipoh, Perak",4.5959134,101.0900944
Starbucks,Starbucks Teluk Intan,"No.1, 1A & 1B, Jalan Intan 2, Bandar Baru Teluk Intan, 36000 Teluk Intan, Perak",4.0202607,101.0233071
Starbucks,Starbucks,"Lot. 4, Persiaran Setia Impian, Bandar Setia Alam, Seksyen, U13 Shah Alam, 47500, Selangor",3.1017192,101.4448047
Starbucks,Starbucks,"Lot No. GF05 & 06, Tingkat Bawah, 201, Jalan Tun Sambanthan, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.133437,101.6866968
Starbucks,Starbucks Lingkaran Karak DT Petronas,"Lot PT6075 H.S (M, Karak Expy, 68100, Selangor",3.2411642,101.7168753
Starbucks,Starbucks @ Jalan Ampang,"4258 & 4259, Jln Ampang, Desa Pahlawan, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.159442,101.7435016
Starbucks,Starbucks Tasek DT,"Pusat Perdagangan, Lot 382914-382921, Jalan, Tasek Mutiara 1, Tasek Mutiara, 31400 Ipoh",4.6542354,101.1078097
Starbucks,Starbucks BBCC Lalaport,"Lot G-72, Ground Floor, LaLaport, BBCC, Mitsui Shopping Park, 2, Jln Hang Tuah, Pudu, 55100 Kuala Lumpur, WP Kuala Lumpur",3.1398302,101.7076616
Starbucks,Starbucks Bandar Puteri DT,"No. G, Lot TC-05, IOI Galleria @ The Cube, 2, Jln Puteri 7/13A, Bandar Puteri Puchong, 47100, Selangor",3.0203618,101.6249516
Starbucks,Starbucks PETRONAS Federal Highway DT,"5 (KL-Bound, PETRONAS Temasya, KM18, Federal Hwy, Seksyen U1, 41050, Selangor",3.084448,101.5837213
Starbucks,Starbucks Amanjaya DT,"No. 3, Jalan Cempaka 2/3, Amanjaya Square, 08000, 69, Jalan Cempaka 1, Bandar Amanjaya, 08000 Sungai Petani, Kedah",5.6697016,100.5080269
Starbucks,Starbucks TTDI,"Lot A & B, No 20-G, Jalan Tun Mohd Fuad 1, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1416949,101.6291607
Starbucks,Starbucks Simpang Ampat DT,"2A, Jalan Iconic Point, 14100 Simpang Ampat, Pulau Pinang",5.2838689,100.4757653
Starbucks,Starbucks,"No. 1-9, Jalan Eco Majestic 10/1, Eco Majestic, 43500, Semenyih",2.8988359,101.8329623
Starbucks,Starbucks Damansara Avenue DT,"B-G-1, Ground Floor 2005 & Lot 2006, Persiaran Perdana, 52200 Kuala Lumpur",3.191622,101.6170615
Starbucks,Starbucks,"No. 1A, Starbucks Kafeteria, Lot 27680A, Jln Cheras, Taman Bukit Segar, 56100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.0861579,101.7422168
Starbucks,Starbucks Ukay Perdana DT,"No. PT 5765, Seksyen 2, Bandar, Taman Bukit Mulia, 68000 Ampang Jaya, Selangor",3.1972672,101.7756519
Starbucks,Starbucks Caltex USJ 16,"PT569 Caltex, Usj 16, 46000 Subang Jaya, Selangor",3.033703,101.5779966
Starbucks,Starbucks,"1 Utama Shopping Centre, Lot G139A, Ground Floor, 47800 Petaling Jaya",3.1485613,101.6160971
Starbucks,Starbucks Bayan Baru,"Ground Floor, Ideal @ The One, Lot 73-1-3, Jalan Mahsuri, 11950 Bayan Lepas",5.3274476,100.2843134
Starbucks,Starbucks Kota Kemuning DT,"Part of Lot PT128300, Jalan Anggerik Vanilla, Kota Kemuning, 40460, Selangor",3.0028961,101.5413469
Starbucks,Starbucks Raja Uda DT,"No. 7, Butterworth Business City Centre, Jalan Raja Uda, 12000, Penang",5.415280999999999,100.3813931
Starbucks,Starbucks,"AIA CAPSQUARE TOWER, Jalan Munshi Abdullah, 50100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1543079,101.6991498
Starbucks,Starbucks,"Lot 0.3, Ground Floor, Piccolo Hotel, 101, 55100, Federal Territory of Kuala Lumpur",3.1469934,101.7119234
Starbucks,Starbucks,"Lot G-100, West Court, Ground Floor, Mid Valley City, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1178189,101.6769098
Starbucks,Starbucks Tapah R&R (SB),"Lot TPHSB-C05, Tapah RSA Southbound, North-South Expy, 35000, Perak",4.1806766,101.2901655
Starbucks,Starbucks Reserve,"Ground & Mezz Floor, Wolo Hotel, Corner of Jalan Bukit Bintang and, Jln Sultan Ismail, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1470837,101.7114922
Starbucks,Starbucks Menara TA One,"Ground Floor, Menara TA One, 22, Jalan P. Ramlee, 50250 Kuala Lumpur",3.1566461,101.7097274
